Hello
HMAC 256 KDF 256
group19
65:61:02:56:94:a4 54:67:89:12:34:56 1 1
65:61:02:56:3b:2b 54:67:89:12:34:56 1 1
65:61:02:56:7b:e0 54:67:89:12:34:56 1 1
65:61:02:56:36:fd 54:67:89:12:34:56 1 0
65:61:02:56:36:fd 54:67:89:12:34:56 2 0
65:61:02:56:36:fd 54:67:89:12:34:56 3 1
65:61:02:56:32:55 54:67:89:12:34:56 1 0
65:61:02:56:32:55 54:67:89:12:34:56 2 0
65:61:02:56:32:55 54:67:89:12:34:56 3 1
65:61:02:56:7c:ae 54:67:89:12:34:56 1 0
65:61:02:56:7c:ae 54:67:89:12:34:56 2 1
65:61:02:56:a4:5d 54:67:89:12:34:56 1 0
65:61:02:56:a4:5d 54:67:89:12:34:56 2 1
65:61:02:56:7e:f2 54:67:89:12:34:56 1 1
65:61:02:56:5e:75 54:67:89:12:34:56 1 1
65:61:02:56:3a:37 54:67:89:12:34:56 1 1
65:61:02:56:2e:39 54:67:89:12:34:56 1 1
65:61:02:56:e0:ba 54:67:89:12:34:56 1 0
65:61:02:56:e0:ba 54:67:89:12:34:56 2 0
65:61:02:56:e0:ba 54:67:89:12:34:56 3 1
65:61:02:56:67:87 54:67:89:12:34:56 1 1
65:61:02:56:51:e7 54:67:89:12:34:56 1 1
65:61:02:56:11:dd 54:67:89:12:34:56 1 1
65:61:02:56:3b:cc 54:67:89:12:34:56 1 0
65:61:02:56:3b:cc 54:67:89:12:34:56 2 0
65:61:02:56:3b:cc 54:67:89:12:34:56 3 1
65:61:02:56:60:b0 54:67:89:12:34:56 1 0
65:61:02:56:60:b0 54:67:89:12:34:56 2 1
65:61:02:56:a9:aa 54:67:89:12:34:56 1 1
65:61:02:56:20:6d 54:67:89:12:34:56 1 0
65:61:02:56:20:6d 54:67:89:12:34:56 2 0
65:61:02:56:20:6d 54:67:89:12:34:56 3 1
65:61:02:56:d3:53 54:67:89:12:34:56 1 1
65:61:02:56:c4:40 54:67:89:12:34:56 1 0
65:61:02:56:c4:40 54:67:89:12:34:56 2 1
65:61:02:56:88:79 54:67:89:12:34:56 1 1
65:61:02:56:48:6a 54:67:89:12:34:56 1 0
65:61:02:56:48:6a 54:67:89:12:34:56 2 1
65:61:02:56:f8:fa 54:67:89:12:34:56 1 0
65:61:02:56:f8:fa 54:67:89:12:34:56 2 1
